,open,high,low,close,volume
2018-01-02 14:30:00+00:00,170.16,170.21,169.275,169.635,98672
2018-01-02 14:35:00+00:00,169.65,170.19,169.5,170.04,37030
2018-01-02 14:40:00+00:00,170.03,170.32,169.955,170.28,42393
2018-01-02 14:45:00+00:00,170.47,170.9,170.42,170.74,56180
2018-01-02 14:50:00+00:00,170.79,171.03,170.735,170.97,35652
2018-01-02 14:55:00+00:00,170.97,171.06,170.72,170.98,12997
2018-01-02 15:00:00+00:00,170.97,171.16,170.87,171.13,22668
2018-01-02 15:05:00+00:00,171.12,171.36,171.005,171.29,23855
2018-01-02 15:10:00+00:00,171.3,171.3,171.07,171.14,19146
2018-01-02 15:15:00+00:00,171.155,171.33,171.14,171.23,24509
2018-01-02 15:20:00+00:00,171.23,171.28,171.1,171.17,21312
2018-01-02 15:25:00+00:00,171.17,171.58,171.17,171.55,33076
2018-01-02 15:30:00+00:00,171.54,171.59,171.42,171.46,26605
2018-01-02 15:35:00+00:00,171.48,171.55,171.32,171.485,26277
2018-01-02 15:40:00+00:00,171.475,171.55,171.395,171.395,21481
2018-01-02 15:45:00+00:00,171.395,171.45,171.215,171.35,24176
2018-01-02 15:50:00+00:00,171.375,171.41,171.26,171.41,11197
2018-01-02 15:55:00+00:00,171.43,171.53,171.42,171.5,17113
2018-01-02 16:00:00+00:00,171.5,171.53,171.32,171.33,21761
2018-01-02 16:05:00+00:00,171.325,171.345,171.23,171.32,25965
2018-01-02 16:10:00+00:00,171.315,171.4,171.29,171.36,11771
2018-01-02 16:15:00+00:00,171.36,171.495,171.33,171.38,24276
2018-01-02 16:20:00+00:00,171.37,171.37,171.17,171.295,13231
2018-01-02 16:25:00+00:00,171.3,171.385,171.26,171.26,16498
2018-01-02 16:30:00+00:00,171.28,171.33,171.18,171.23,12672
2018-01-02 16:35:00+00:00,171.23,171.23,171.105,171.19,13156
2018-01-02 16:40:00+00:00,171.19,171.23,171.15,171.21,9825
2018-01-02 16:45:00+00:00,171.21,171.33,171.18,171.265,20660
2018-01-02 16:50:00+00:00,171.28,171.28,171.16,171.28,7851
2018-01-02 16:55:00+00:00,171.28,171.28,171.2,171.21,5694
2018-01-02 17:00:00+00:00,171.21,171.28,171.19,171.26,7103
2018-01-02 17:05:00+00:00,171.31,171.4,171.31,171.38,9628
2018-01-02 17:10:00+00:00,171.39,171.45,171.36,171.41,7340
2018-01-02 17:15:00+00:00,171.42,171.47,171.35,171.47,8731
2018-01-02 17:20:00+00:00,171.48,171.5,171.33,171.38,14013
2018-01-02 17:25:00+00:00,171.39,171.43,171.32,171.38,6078
2018-01-02 17:30:00+00:00,171.37,171.37,171.33,171.36,4233
2018-01-02 17:35:00+00:00,171.38,171.4,171.25,171.26,10604
2018-01-02 17:40:00+00:00,171.28,171.295,171.23,171.27,7856
2018-01-02 17:45:00+00:00,171.28,171.37,171.27,171.34,9565
2018-01-02 17:50:00+00:00,171.36,171.4,171.26,171.26,10655
2018-01-02 17:55:00+00:00,171.25,171.31,171.25,171.31,5491
2018-01-02 18:00:00+00:00,171.29,171.39,171.29,171.37,4395
2018-01-02 18:05:00+00:00,171.37,171.55,171.36,171.51,15599
2018-01-02 18:10:00+00:00,171.53,171.57,171.51,171.52,8709
2018-01-02 18:15:00+00:00,171.52,171.57,171.43,171.485,5165
2018-01-02 18:20:00+00:00,171.49,171.56,171.44,171.54,7835
2018-01-02 18:25:00+00:00,171.525,171.585,171.52,171.54,8606
2018-01-02 18:30:00+00:00,171.55,171.57,171.49,171.57,5975
2018-01-02 18:35:00+00:00,171.58,171.63,171.54,171.61,9204
2018-01-02 18:40:00+00:00,171.64,171.68,171.62,171.645,8120
2018-01-02 18:45:00+00:00,171.67,171.7,171.65,171.68,9141
2018-01-02 18:50:00+00:00,171.69,171.695,171.55,171.59,10651
2018-01-02 18:55:00+00:00,171.595,171.69,171.57,171.68,6326
2018-01-02 19:00:00+00:00,171.69,171.95,171.66,171.93,14548
2018-01-02 19:05:00+00:00,171.96,171.98,171.85,171.88,23490
2018-01-02 19:10:00+00:00,171.89,172.09,171.89,172.05,16781
2018-01-02 19:15:00+00:00,172.08,172.1,171.89,171.99,20538
2018-01-02 19:20:00+00:00,171.96,172.065,171.96,172.02,13379
2018-01-02 19:25:00+00:00,172.005,172.07,171.87,171.93,21841
2018-01-02 19:30:00+00:00,171.91,172.01,171.91,171.975,14549
2018-01-02 19:35:00+00:00,171.985,172.0,171.94,171.97,11019
2018-01-02 19:40:00+00:00,171.97,172.09,171.955,171.985,12054
2018-01-02 19:45:00+00:00,172.0,172.01,171.975,171.99,17967
2018-01-02 19:50:00+00:00,172.0,172.01,171.97,171.98,10200
2018-01-02 19:55:00+00:00,171.99,172.0,171.975,171.99,7993
2018-01-02 20:00:00+00:00,171.98,171.99,171.89,171.93,9492
2018-01-02 20:05:00+00:00,171.935,171.94,171.82,171.89,14442
2018-01-02 20:10:00+00:00,171.88,171.98,171.87,171.93,13084
2018-01-02 20:15:00+00:00,171.92,171.92,171.72,171.77,17339
2018-01-02 20:20:00+00:00,171.765,171.8,171.7,171.78,11405
2018-01-02 20:25:00+00:00,171.79,171.88,171.74,171.85,9325
2018-01-02 20:30:00+00:00,171.85,171.93,171.84,171.9,12402
2018-01-02 20:35:00+00:00,171.88,171.95,171.86,171.94,16388
2018-01-02 20:40:00+00:00,171.96,172.06,171.92,172.06,23347
2018-01-02 20:45:00+00:00,172.05,172.06,171.95,172.04,25945
2018-01-02 20:50:00+00:00,172.1,172.22,172.1,172.17,33196
2018-01-02 20:55:00+00:00,172.17,172.28,172.03,172.2,63005
2018-01-03 14:30:00+00:00,172.62,173.27,172.2,173.12,46495
2018-01-03 14:35:00+00:00,173.13,173.34,173.07,173.07,40697
2018-01-03 14:40:00+00:00,173.17,173.32,173.06,173.2,41063
2018-01-03 14:45:00+00:00,173.23,173.23,172.84,173.105,33208
2018-01-03 14:50:00+00:00,173.105,173.43,172.94,173.32,33511
2018-01-03 14:55:00+00:00,173.31,173.89,173.29,173.865,37007
2018-01-03 15:00:00+00:00,173.89,174.19,173.77,174.18,38663
2018-01-03 15:05:00+00:00,174.23,174.41,174.13,174.19,41765
2018-01-03 15:10:00+00:00,174.21,174.3,174.05,174.08,35203
2018-01-03 15:15:00+00:00,174.08,174.08,173.9,173.95,54109
2018-01-03 15:20:00+00:00,173.95,173.95,173.81,173.93,30799
2018-01-03 15:25:00+00:00,173.92,174.07,173.81,174.05,25829
2018-01-03 15:30:00+00:00,174.04,174.09,173.91,173.94,22219
2018-01-03 15:35:00+00:00,174.0,174.44,173.95,174.42,28353
2018-01-03 15:40:00+00:00,174.44,174.55,174.38,174.49,54512
2018-01-03 15:45:00+00:00,174.5,174.55,174.23,174.27,21927
2018-01-03 15:50:00+00:00,174.28,174.305,174.15,174.19,33675
2018-01-03 15:55:00+00:00,174.19,174.265,174.08,174.16,52166
2018-01-03 16:00:00+00:00,174.15,174.2,174.06,174.17,41421
2018-01-03 16:05:00+00:00,174.165,174.24,174.11,174.24,50525
2018-01-03 16:10:00+00:00,174.24,174.29,174.11,174.19,25187
2018-01-03 16:15:00+00:00,174.2,174.24,173.96,174.07,20290
2018-01-03 16:20:00+00:00,174.08,174.12,174.01,174.08,19536
2018-01-03 16:25:00+00:00,174.09,174.09,173.95,173.96,24806
2018-01-03 16:30:00+00:00,173.96,173.97,173.82,173.92,24806
2018-01-03 16:35:00+00:00,173.93,173.95,173.67,173.68,28534
2018-01-03 16:40:00+00:00,173.69,173.69,173.52,173.52,79415
2018-01-03 16:45:00+00:00,173.5,173.69,173.5,173.66,20523
2018-01-03 16:50:00+00:00,173.67,173.72,173.58,173.64,15438
2018-01-03 16:55:00+00:00,173.65,173.71,173.63,173.67,10157
2018-01-03 17:00:00+00:00,173.67,173.72,173.56,173.62,262165
2018-01-03 17:05:00+00:00,173.62,173.63,173.48,173.62,16443
2018-01-03 17:10:00+00:00,173.615,173.62,173.46,173.59,12198
2018-01-03 17:15:00+00:00,173.59,173.595,173.54,173.585,9470
2018-01-03 17:20:00+00:00,173.58,173.59,173.41,173.41,15354
2018-01-03 17:25:00+00:00,173.43,173.53,173.43,173.49,10181
2018-01-03 17:30:00+00:00,173.495,173.52,173.315,173.41,10989
2018-01-03 17:35:00+00:00,173.415,173.47,173.37,173.38,10296
2018-01-03 17:40:00+00:00,173.41,173.44,173.33,173.43,8913
2018-01-03 17:45:00+00:00,173.45,173.51,173.4,173.49,9995
2018-01-03 17:50:00+00:00,173.46,173.46,173.31,173.44,11592
2018-01-03 17:55:00+00:00,173.41,173.41,173.22,173.32,10121
2018-01-03 18:00:00+00:00,173.34,173.34,173.09,173.21,13536
2018-01-03 18:05:00+00:00,173.23,173.23,173.12,173.155,5614
2018-01-03 18:10:00+00:00,173.16,173.26,173.16,173.26,7180
2018-01-03 18:15:00+00:00,173.265,173.39,173.265,173.37,10717
2018-01-03 18:20:00+00:00,173.375,173.44,173.335,173.44,7339
2018-01-03 18:25:00+00:00,173.41,173.48,173.38,173.38,7810
2018-01-03 18:30:00+00:00,173.37,173.39,173.29,173.32,8594
2018-01-03 18:35:00+00:00,173.3,173.3,173.225,173.25,7388
2018-01-03 18:40:00+00:00,173.24,173.24,173.05,173.08,10235
2018-01-03 18:45:00+00:00,173.085,173.12,173.04,173.075,8289
2018-01-03 18:50:00+00:00,173.095,173.12,173.08,173.11,10341
2018-01-03 18:55:00+00:00,173.12,173.12,172.94,172.96,6920
2018-01-03 19:00:00+00:00,172.98,173.03,172.88,172.9,8945
2018-01-03 19:05:00+00:00,172.9,173.0,172.82,172.87,13489
2018-01-03 19:10:00+00:00,172.88,172.96,172.83,172.96,10423
2018-01-03 19:15:00+00:00,172.955,172.99,172.87,172.99,16863
2018-01-03 19:20:00+00:00,172.98,173.08,172.82,172.83,105748
2018-01-03 19:25:00+00:00,172.82,172.89,172.78,172.87,26031
2018-01-03 19:30:00+00:00,172.875,172.88,172.61,172.71,17377
2018-01-03 19:35:00+00:00,172.7,172.85,172.65,172.72,15301
2018-01-03 19:40:00+00:00,172.72,172.9,172.71,172.83,13180
2018-01-03 19:45:00+00:00,172.84,172.89,172.73,172.75,16215
2018-01-03 19:50:00+00:00,172.73,172.74,172.48,172.48,21745
2018-01-03 19:55:00+00:00,172.49,172.49,172.34,172.38,24150
2018-01-03 20:00:00+00:00,172.39,172.505,172.35,172.41,13796
2018-01-03 20:05:00+00:00,172.41,172.42,172.28,172.32,20790
2018-01-03 20:10:00+00:00,172.32,172.41,172.2,172.34,25414
2018-01-03 20:15:00+00:00,172.36,172.585,172.35,172.42,22359
2018-01-03 20:20:00+00:00,172.44,172.46,172.25,172.32,23419
2018-01-03 20:25:00+00:00,172.315,172.315,172.16,172.255,24653
2018-01-03 20:30:00+00:00,172.27,172.47,172.24,172.44,26190
2018-01-03 20:35:00+00:00,172.44,172.54,172.41,172.46,28316
2018-01-03 20:40:00+00:00,172.47,172.5,172.22,172.25,33517
2018-01-03 20:45:00+00:00,172.235,172.41,172.09,172.13,46190
2018-01-03 20:50:00+00:00,172.21,172.43,172.21,172.23,59018
2018-01-03 20:55:00+00:00,172.23,172.23,171.97,172.22,158143
2018-01-03 21:00:00+00:00,172.0,172.0,172.0,172.0,355
2018-01-04 13:55:00+00:00,172.86,172.86,172.86,172.86,100
2018-01-04 14:30:00+00:00,172.67,173.12,172.64,172.72,49792
2018-01-04 14:35:00+00:00,172.71,172.92,172.54,172.69,36703
2018-01-04 14:40:00+00:00,172.67,172.68,172.11,172.36,42516
2018-01-04 14:45:00+00:00,172.34,172.83,172.25,172.79,27851
2018-01-04 14:50:00+00:00,172.83,173.14,172.735,173.0,15892
2018-01-04 14:55:00+00:00,173.0,173.15,172.84,172.94,12553
2018-01-04 15:00:00+00:00,172.98,173.05,172.66,172.74,16064
2018-01-04 15:05:00+00:00,172.73,173.185,172.71,173.125,15354
2018-01-04 15:10:00+00:00,173.12,173.23,172.96,173.23,18071
2018-01-04 15:15:00+00:00,173.24,173.41,173.19,173.38,14810
2018-01-04 15:20:00+00:00,173.3,173.35,173.03,173.26,14073
2018-01-04 15:25:00+00:00,173.26,173.26,173.06,173.17,5196
2018-01-04 15:30:00+00:00,173.18,173.23,173.03,173.23,13185
2018-01-04 15:35:00+00:00,173.26,173.3,173.185,173.24,9423
2018-01-04 15:40:00+00:00,173.25,173.45,173.07,173.09,24683
2018-01-04 15:45:00+00:00,173.1,173.22,173.09,173.12,44128
2018-01-04 15:50:00+00:00,173.12,173.16,173.02,173.02,21620
2018-01-04 15:55:00+00:00,173.02,173.02,172.87,172.96,14889
2018-01-04 16:00:00+00:00,172.96,172.96,172.76,172.89,23204
2018-01-04 16:05:00+00:00,172.89,173.0,172.84,172.93,10648
2018-01-04 16:10:00+00:00,172.92,173.11,172.87,173.05,15140
2018-01-04 16:15:00+00:00,173.035,173.035,172.92,173.0,9498
2018-01-04 16:20:00+00:00,172.97,173.09,172.96,173.04,11930
2018-01-04 16:25:00+00:00,173.05,173.22,172.95,173.17,18624
